state,year,sex,population
"Negeri Sembilan",2007,both,984
"Negeri Sembilan",2007,female,476
"Negeri Sembilan",2007,male,507
"Negeri Sembilan",2008,both,1000
"Negeri Sembilan",2008,female,484
"Negeri Sembilan",2008,male,516
"Negeri Sembilan",2009,both,1015
"Negeri Sembilan",2009,female,491
"Negeri Sembilan",2009,male,524
"Negeri Sembilan",2010,both,1030
"Negeri Sembilan",2010,female,498
"Negeri Sembilan",2010,male,532
"Negeri Sembilan",2011,both,1047
"Negeri Sembilan",2011,female,506
"Negeri Sembilan",2011,male,541
"Negeri Sembilan",2012,both,1058
"Negeri Sembilan",2012,female,509
"Negeri Sembilan",2012,male,549
"Negeri Sembilan",2013,both,1072
"Negeri Sembilan",2013,female,515
"Negeri Sembilan",2013,male,557
"Negeri Sembilan",2014,both,1080
"Negeri Sembilan",2014,female,520
"Negeri Sembilan",2014,male,559
"Negeri Sembilan",2015,both,1089
"Negeri Sembilan",2015,female,525
"Negeri Sembilan",2015,male,564
"Negeri Sembilan",2016,both,1099
"Negeri Sembilan",2016,female,530
"Negeri Sembilan",2016,male,569
"Negeri Sembilan",2017,both,1114
"Negeri Sembilan",2017,female,537
"Negeri Sembilan",2017,male,577
"Negeri Sembilan",2018,both,1123
"Negeri Sembilan",2018,female,542
"Negeri Sembilan",2018,male,581
"Negeri Sembilan",2019,both,1126
"Negeri Sembilan",2019,female,546
"Negeri Sembilan",2019,male,581
"Negeri Sembilan",2020,both,1200
"Negeri Sembilan",2020,female,576
"Negeri Sembilan",2020,male,624
"Negeri Sembilan",2021,both,1204
"Negeri Sembilan",2021,female,580
"Negeri Sembilan",2021,male,624
"Negeri Sembilan",2022,both,1208
"Negeri Sembilan",2022,female,583
"Negeri Sembilan",2022,male,625
"Negeri Sembilan",2023,both,1225
"Negeri Sembilan",2023,female,590
"Negeri Sembilan",2023,male,635
"Negeri Sembilan",2024,both,1240
"Negeri Sembilan",2024,female,595
"Negeri Sembilan",2024,male,644
"Negeri Sembilan",2025,both,1245
"Negeri Sembilan",2025,female,599
"Negeri Sembilan",2025,male,646
Pahang,1970,both,524
Pahang,1970,female,251
Pahang,1970,male,273
Pahang,1971,both,548
Pahang,1971,female,263
Pahang,1971,male,286
Pahang,1972,both,574
Pahang,1972,female,275
Pahang,1972,male,299
Pahang,1973,both,599
Pahang,1973,female,287
